GenerationDepth,TaskId,Algorithm,Strategy,SolutionLength,StatesVisited,StatesProcessed,MaxTreeLevel,DurationInMiliseconds
1,1,astr,hamm,1,2,3,1,9
1,1,astr,manh,1,2,3,1,4
1,1,bd,astrmanhastrmanh,1,2,5,1,7
1,1,bd,bfsrdulbfslurd,1,2,5,1,12
1,1,bfs,drlu,1,2,3,1,6
1,1,bfs,drul,1,2,3,1,6
1,1,bfs,ludr,1,4,10,1,6
1,1,bfs,lurd,1,4,10,1,6
1,1,bfs,rdlu,1,2,3,1,6
1,1,bfs,rdul,1,2,3,1,10
1,1,bfs,uldr,1,4,10,1,6
1,1,bfs,ulrd,1,4,10,1,6
1,1,dfs,drlu,1,2,3,1,6
1,1,dfs,drul,1,2,3,1,6
1,1,dfs,ludr,25,73,275,25,6
1,1,dfs,lurd,25,187,883,25,7
1,1,dfs,rdlu,1,2,3,1,6
1,1,dfs,rdul,1,2,3,1,6
1,1,dfs,uldr,25,202,921,25,7
1,1,dfs,ulrd,25,48,208,25,7
1,2,astr,hamm,1,2,3,1,4
1,2,astr,manh,1,2,3,1,4
1,2,bd,astrmanhastrmanh,1,2,5,1,5
1,2,bd,bfsrdulbfslurd,1,2,5,1,7
1,2,bfs,drlu,1,2,3,1,6
1,2,bfs,drul,1,2,3,1,6
1,2,bfs,ludr,1,4,10,1,6
1,2,bfs,lurd,1,4,10,1,6
1,2,bfs,rdlu,1,2,3,1,8
1,2,bfs,rdul,1,2,3,1,6
1,2,bfs,uldr,1,4,10,1,6
1,2,bfs,ulrd,1,4,10,1,6
1,2,dfs,drlu,1,2,3,1,6
1,2,dfs,drul,1,2,3,1,6
1,2,dfs,ludr,25,48,208,25,6
1,2,dfs,lurd,25,202,921,25,7
1,2,dfs,rdlu,1,2,3,1,6
1,2,dfs,rdul,1,2,3,1,6
1,2,dfs,uldr,25,187,883,25,7
1,2,dfs,ulrd,25,73,275,25,6
2,1,astr,hamm,2,3,6,2,5
2,1,astr,manh,2,3,6,2,5
2,1,bd,astrmanhastrmanh,2,4,11,2,6
2,1,bd,bfsrdulbfslurd,2,4,11,1,7
2,1,bfs,drlu,2,5,12,2,11
2,1,bfs,drul,2,5,12,2,6
2,1,bfs,ludr,2,10,30,2,7
2,1,bfs,lurd,2,10,30,2,6
2,1,bfs,rdlu,2,5,12,2,6
2,1,bfs,rdul,2,5,12,2,6
2,1,bfs,uldr,2,10,30,2,6
2,1,bfs,ulrd,2,10,30,2,6
2,1,dfs,drlu,2,3,6,2,6
2,1,dfs,drul,2,3,6,2,6
2,1,dfs,ludr,24,255,1457,25,8
2,1,dfs,lurd,24,290,2152,25,8
2,1,dfs,rdlu,2,3,6,2,6
2,1,dfs,rdul,2,3,6,2,6
2,1,dfs,uldr,24,413,2862,25,8
2,1,dfs,ulrd,24,111,540,25,9
2,2,astr,hamm,2,3,7,2,4
2,2,astr,manh,2,3,7,2,4
2,2,bd,astrmanhastrmanh,2,4,12,2,6
2,2,bd,bfsrdulbfslurd,2,4,12,1,7
2,2,bfs,drlu,2,8,23,2,6
2,2,bfs,drul,2,8,23,2,6
2,2,bfs,ludr,2,15,46,2,6
2,2,bfs,lurd,2,13,41,2,6
2,2,bfs,rdlu,2,6,18,2,6
2,2,bfs,rdul,2,6,18,2,6
2,2,bfs,uldr,2,15,46,2,6
2,2,bfs,ulrd,2,13,41,2,6
2,2,dfs,drlu,24,32,143,25,7
2,2,dfs,drul,24,57,236,25,6
2,2,dfs,ludr,24,160,757,25,7
2,2,dfs,lurd,24,382,2728,25,8
2,2,dfs,rdlu,2,3,7,2,6
2,2,dfs,rdul,2,3,7,2,6
2,2,dfs,uldr,24,387,2740,25,9
2,2,dfs,ulrd,24,155,745,25,7
2,3,astr,hamm,2,3,7,2,4
2,3,astr,manh,2,3,7,2,6
2,3,bd,astrmanhastrmanh,2,4,12,2,6
2,3,bd,bfsrdulbfslurd,2,4,12,1,8
2,3,bfs,drlu,2,6,18,2,7
2,3,bfs,drul,2,6,18,2,6
2,3,bfs,ludr,2,13,41,2,6
2,3,bfs,lurd,2,15,46,2,6
2,3,bfs,rdlu,2,8,23,2,6
2,3,bfs,rdul,2,8,23,2,6
2,3,bfs,uldr,2,13,41,2,6
2,3,bfs,ulrd,2,15,46,2,6
2,3,dfs,drlu,2,3,7,2,6
2,3,dfs,drul,2,3,7,2,6
2,3,dfs,ludr,24,155,745,25,7
2,3,dfs,lurd,24,387,2740,25,9
2,3,dfs,rdlu,24,57,236,25,7
2,3,dfs,rdul,24,32,143,25,6
2,3,dfs,uldr,24,382,2728,25,8
2,3,dfs,ulrd,24,160,757,25,9
2,4,astr,hamm,2,3,6,2,4
2,4,astr,manh,2,3,6,2,5
2,4,bd,astrmanhastrmanh,2,4,11,2,5
2,4,bd,bfsrdulbfslurd,2,6,18,2,8
2,4,bfs,drlu,2,5,12,2,6
2,4,bfs,drul,2,5,12,2,6
2,4,bfs,ludr,2,10,30,2,6
2,4,bfs,lurd,2,10,30,2,6
